Date,Open,High,Low,Close,Volume
2021-04-13,111.62691342728266,112.24579894520419,111.23316455138779,111.79750061035156,25682000
2021-04-14,112.44216174007808,112.44216174007808,110.88453990540746,111.17662048339844,21002000
2021-04-15,112.17042307269293,113.85896676847962,111.63583989984983,113.32586669921875,29174000
2021-04-16,113.5237224246354,113.77167310788025,112.61523075801729,113.2018814086914,26282000
2021-04-19,112.57854354901255,114.26014079100582,112.57854354901255,113.54951477050781,30290000
2021-04-20,113.93283250100332,114.00771408699651,111.93088510376728,113.01641082763672,22288000
2021-04-21,112.67126807997798,113.06550874851278,111.32092512104474,112.98368835449219,23204000
2021-04-22,112.83740129654701,113.50587995571698,111.09778136352259,111.7027816772461,24146000
2021-04-23,112.42083028712631,114.3607975663134,112.13568853501279,114.0538330078125,29066000
2021-04-26,114.28146844023216,115.27377066190553,113.92441882355446,114.54975128173828,32038000
2021-04-27,114.93159741163268,114.97226168999597,113.37099411833077,113.61002349853516,44386000
2021-04-28,118.64439751122318,120.57246219442263,116.69650010351913,116.98511505126953,81106000
2021-04-29,118.48224361950828,119.22262247919515,117.71954253961522,118.65729522705078,41234000
2021-04-30,117.43044257709242,118.1162720240264,116.36624012534263,116.71039581298828,44856000
2021-05-03,117.2762089404866,118.10138954221922,115.81776586416933,116.19365692138672,28242000
2021-05-04,114.72926326113381,115.29657305551342,111.9090738290094,114.3960189819336,44818000
2021-05-05,115.47709984321007,115.79298579038195,114.46793860068328,114.78977966308594,26636000
2021-05-06,114.37122673822532,115.90951538085938,113.71217637295206,115.90951538085938,25190000
2021-05-07,117.22562773950987,117.59060737920674,116.34638956282501,116.63252258300781,28898000
2021-05-10,115.45278230823058,115.59461543086714,113.29065197517465,113.64820098876953,30914000
2021-05-11,111.23416080961009,113.07940650319262,110.78040678264628,112.57259368896484,34186000
2021-05-12,110.3970831268485,111.47765277681279,108.78193027743689,109.11071014404297,46376000
2021-05-13,110.39359185483993,111.05413282086089,109.43154201842614,110.53839874267578,33204000
2021-05-14,112.00131096781348,113.29957888960938,111.577809256897,112.98517608642578,31996000
2021-05-17,112.25074645700623,113.55050506879931,111.85105006420112,113.50785827636719,21598000
2021-05-18,114.17385549892235,114.43817329757108,112.18231233154226,112.19619750976562,22204000
2021-05-19,110.50815409240448,112.81706629241613,110.35988157512777,112.64399719238281,23684000
2021-05-20,113.61100662106799,114.65239495545593,113.24007185238473,114.40196990966797,32352000
2021-05-21,114.92067224724799,114.99407073122583,113.52669126628258,113.7662124633789,40632000
2021-05-24,114.79571714938808,117.30795076933327,114.65041840397706,117.08430480957031,31832000
2021-05-25,117.62780399643341,118.22288412982375,116.78477317689254,117.175048828125,22440000
2021-05-26,117.35604726795344,118.47034224534134,117.35307349417839,118.03990173339844,21572000
2021-05-27,118.47332287279623,118.47332287279623,116.84726630527486,117.16563415527344,35224000
2021-05-28,117.74781887099097,117.82963927117555,116.67816071964592,116.87651824951172,21482000
2021-06-01,117.74880281061728,118.30768309931028,116.74906245910415,118.08303833007812,23354000
2021-06-02,118.47826328360749,118.70092552390956,116.65384186131058,117.55787658691406,21158000
2021-06-03,116.3250685412931,116.88494008609811,115.52121134855334,116.41680908203125,18696000
2021-06-04,117.49243481948021,118.96823639262553,117.15224415049533,118.69747161865234,24458000
