Date,Open,High,Low,Close,Volume
2021-04-19,302.6351090312537,305.30416629522637,298.2197459731686,299.88665771484375,14553500
2021-04-20,299.6385314824256,302.7243310719852,294.895752380361,300.29339599609375,16796400
2021-04-21,299.5989235990618,299.6286887973505,295.074431779428,299.1226501464844,14863500
2021-04-22,298.98372689165404,300.5613732471118,293.7349384661089,294.211181640625,16375400
2021-04-23,296.433736995222,300.23390165965907,294.8362573958426,298.7852783203125,17536800
2021-04-26,300.9780413441826,303.41887809110506,299.21190251430323,300.6803894042969,16172600
2021-04-27,301.9107314378546,302.96247535635484,298.7654012272768,301.2062683105469,15309300
2021-04-28,304.9667562140213,308.49906447197213,302.9922608483322,304.70880126953125,33907200
2021-04-29,327.5495411674635,329.2263845348517,319.10579393830335,326.9443054199219,56526800
2021-04-30,323.6005719261197,327.25191086363225,321.97332701790543,322.5487976074219,26332400
2021-05-03,323.6303106363787,325.99175347728556,319.33400895885666,320.0682373046875,18719500
2021-05-04,317.52821238291256,319.681329401256,310.68194401650095,315.8811340332031,24032600
2021-05-05,315.712469321402,318.56011770266906,312.04126663923637,312.567138671875,15577600
2021-05-06,312.0710232209815,317.746486454234,310.8307561707074,317.5281982421875,19012200
2021-05-07,319.86987408536334,320.4255113638621,316.2681333222643,316.5955505371094,15916700
2021-05-10,311.90237131540397,312.130561078937,302.4564778555259,303.5876159667969,24239200
2021-05-11,298.40825581482176,304.45083332141724,297.3565117661836,304.14324951171875,18920100
2021-05-12,298.78525713151794,302.58542152646083,295.8681470090487,300.1941833496094,24645500
2021-05-13,303.69674037279856,306.45509310591166,300.41251561689637,302.8831481933594,18079200
2021-05-14,307.1298192160858,314.38289851654434,306.67337913920693,313.47998046875,19245700
2021-05-17,311.10862168993424,313.22204190707095,309.1539593127661,313.0037536621094,15401300
2021-05-18,313.1326760167942,314.0355939964766,307.3976828099841,307.5465087890625,14522400
2021-05-19,301.82151195988223,312.2099914407722,301.2063442614852,311.1483154296875,19106200
2021-05-20,311.1382873186088,316.76415102969173,310.72157461701875,316.1291198730469,17320200
2021-05-21,316.8039020331024,317.4389030180048,313.3509876603318,313.7677307128906,13600900
2021-05-24,315.7322705020775,323.41202409677993,315.5536793273055,322.102294921875,16445400
2021-05-25,324.5332384164337,326.6168932086771,322.2709924282731,325.23773193359375,16437000
2021-05-26,325.79333340241755,327.2617901142244,323.2830342689029,325.10870361328125,9686900
2021-05-27,325.44607335297707,331.18106697098676,324.215738131107,330.1590881347656,20477700
2021-05-28,328.42269355471336,330.27812809646827,325.77346998443005,326.1703796386719,12037400
2021-06-01,327.5793689182774,328.8394997807702,324.09671918861557,326.56732177734375,11765900
2021-06-02,327.8075307847348,329.2859193445906,324.5729047910016,326.58709716796875,11654300
2021-06-03,323.24332704492036,324.8308747707798,320.961248006466,323.5013122558594,12610800
2021-06-04,323.36240833474403,329.8713271716394,322.6480133267942,327.77777099609375,13289400
2021-06-07,326.9145364253234,335.060601318784,326.36880079638615,333.959228515625,20136700
2021-06-08,334.07832199527667,335.66583948741965,329.6530276600603,331.0818176269531,14580500
2021-06-09,333.1258016057894,334.17754565379573,327.4305049367785,327.6785583496094,13727900
2021-06-10,328.2143277062519,331.33979432346086,325.9917487704963,329.8713073730469,13240200
2021-06-11,329.9904241893929,330.23847761827665,326.3688501836827,328.68072509765625,13587900
2021-06-14,329.31575083606265,334.1974560059133,327.2420276486144,334.1478271484375,12250800
2021-06-15,334.3660207225069,337.27322931676474,332.42129072317135,334.1278991699219,15795200
2021-06-16,334.07831019373776,334.92166747666334,326.16043526357373,328.5020446777344,17232200
2021-06-17,327.9166858746589,335.348386848026,327.5793368606947,333.88983154296875,17794100
2021-06-18,331.92521504508204,333.5325962354284,326.43827503756376,327.0931396484375,23039500
2021-06-21,328.51199879851725,330.3277666521811,325.0987815754126,329.7026672363281,11337500
2021-06-22,330.09959669604154,337.2733130481438,330.0103010916536,336.3902282714844,15345300
2021-06-23,336.7076532455804,340.7459694093703,335.56661379024627,337.93798828125,14817800
2021-06-24,339.18824270230544,342.214482226336,339.1287123056329,340.50787353515625,12329100
2021-06-25,339.9224463575193,341.4405319220191,337.0351012093616,338.7119445800781,14594400
2021-06-28,339.7934517054594,355.35138354168714,339.1088219177448,352.870849609375,29156100
2021-06-29,353.49595592074894,353.9622975602913,346.3321719592447,349.15008544921875,21417300
2021-06-30,349.42791950973475,350.17207980061676,344.4668509038547,345.00262451171875,15107500
2021-07-01,344.1195505239757,351.9084338493456,343.80203488402134,351.630615234375,17137000
2021-07-02,352.3350507654891,353.66461333834536,349.8743501691839,351.93817138671875,11521300
2021-07-06,353.72411652527984,355.99629394291753,346.4611063605734,350.0330810546875,13488500
2021-07-07,352.4938034123803,353.71420672723315,347.2747503320895,347.76092529296875,14218900
2021-07-08,343.03801220730537,345.61774329354535,339.89268183283735,342.9586181640625,14406500
2021-07-09,342.63126260974786,347.9792790264999,342.58163375380906,347.6915588378906,13018700
2021-07-12,348.49516093128256,351.43210443333663,346.9175450888969,350.4101257324219,10018600
2021-07-13,348.7631083049435,355.69867223428014,346.084119258612,349.3485107421875,11456000
2021-07-14,351.7992818634606,352.43431315647945,344.0302620301716,344.9232482910156,13894200
2021-07-15,346.5107713852772,346.5107713852772,337.57091703181555,341.77789306640625,14781600
2021-07-16,342.22446384253294,343.29604141849916,337.4916149387423,338.503662109375,11026100
